Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-05-25,03,0.14,5,Spring,No
2019-05-25,04,0.24,6,Spring,No
2019-05-25,05,0.48,11,Spring,No
2019-05-25,06,0.22,12,Spring,No
2019-05-25,07,0.18,14,Spring,No
2019-05-25,08,0.21,15,Spring,No
2019-05-25,09,0.19,17,Spring,No
2019-05-25,10,0.22,19,Spring,No
2019-05-25,11,0.48,21,Spring,No
2019-05-25,12,0.25,21,Spring,No
2019-05-25,13,0.15,21,Spring,No
2019-05-25,14,0.24,20,Spring,No
2019-05-25,15,0.19,20,Spring,No
2019-05-25,16,0.19,19,Spring,No
2019-05-25,17,0.19,17,Spring,No
2019-05-25,18,0.59,17,Spring,No
2019-05-25,19,0.18,15,Spring,No
2019-05-25,20,0.22,14,Spring,No
2019-05-25,21,0.17,14,Spring,No
2019-05-25,22,0.19,13,Spring,No
2019-05-25,23,0.24,13,Spring,No
2019-05-26,00,0.17,13,Spring,No
2019-05-26,01,0.22,13,Spring,No
2019-05-26,02,0.55,13,Spring,No
2019-05-26,03,0.24,13,Spring,No
2019-05-26,04,0.19,13,Spring,No
2019-05-26,05,0.21,13,Spring,No
2019-05-26,06,0.19,13,Spring,No
2019-05-26,07,0.24,15,Spring,No
2019-05-26,08,0.25,14,Spring,No
2019-05-26,09,0.22,15,Spring,No
2019-05-26,10,0.16,17,Spring,No
2019-05-26,11,0.72,19,Spring,No
2019-05-26,12,0.61,19,Spring,No
2019-05-26,13,4.49,20,Spring,No
2019-05-26,14,5.34,22,Spring,No
2019-05-26,15,2.29,24,Spring,No
2019-05-26,16,1.91,24,Spring,No
2019-05-26,17,0.48,23,Spring,No
2019-05-26,18,5.52,20,Spring,No
2019-05-26,19,2.21,18,Spring,No
2019-05-26,20,1.63,17,Spring,No
2019-05-26,21,3.33,14,Spring,No
2019-05-26,22,3.13,14,Spring,No
2019-05-26,23,2.37,12,Spring,No
2019-05-27,00,1.99,11,Spring,No
2019-05-27,01,1.38,9,Spring,No
2019-05-27,02,1.46,7,Spring,No
2019-05-27,03,0.84,6,Spring,No
